Side,eventType,timeMs,Qty,Price,eventSeq,eventID,bidEventID,askEventID
Sell,Limit,40,1500,7.15,0,1828,,
Buy,Limit,40,1500,6.85,1,1937,,
Sell,Limit,50,400,7.32,2,4299,,
Sell,Limit,50,300,7.15,3,4305,,
Sell,Limit,50,400,7.27,4,4309,,
Buy,Limit,50,400,6.75,5,4496,,
Buy,Limit,50,400,6.8,6,4500,,
Sell,Limit,60,800,6.3,7,5785,,
Buy,Limit,60,800,6.9,8,5967,,
Buy,Limit,60,800,6.8,9,5969,,
Buy,Limit,60,500,6.61,10,6020,,
Buy,Limit,60,500,6.41,11,6096,,
Sell,Limit,60,1000,7.2,12,6123,,
Sell,Limit,70,1000,7.05,13,7336,,
Sell,Limit,70,700,7.39,14,7909,,
Buy,Limit,80,200,6.91,15,9018,,
Buy,Limit,80,300,6.86,16,9019,,
Buy,Limit,80,400,6.81,17,9058,,
Sell,Limit,90,1200,7.68,18,11050,,
Sell,Limit,90,1000,7.68,19,11081,,
Buy,Limit,90,1000,6.8,20,11497,,
Sell,Limit,100,2500,7.05,21,12092,,
Sell,Limit,100,3000,7.15,22,12232,,
Sell,Limit,100,2000,7.04,23,12692,,
Buy,Limit,100,2200,6.57,24,12698,,
Buy,Limit,100,5000,6.97,25,13317,,
Sell,Limit,110,6000,7.09,26,14827,,
Sell,Limit,110,10000,7.18,27,14828,,
Buy,Limit,120,1800,6.73,28,15330,,
Buy,Limit,120,8000,6.94,29,17063,,
Buy,Limit,130,24200,6.95,30,17214,,
Sell,Limit,130,100,7.57,31,18497,,
Buy,Limit,140,200,6.4,32,20585,,
Sell,Limit,140,200,7.4,33,20587,,
Buy,Limit,140,800,6.84,34,20630,,
Sell,Limit,140,800,7.28,35,20647,,
Buy,Limit,140,1200,6.94,36,20978,,
Buy,Limit,150,1000,6.5,37,21489,,
Sell,Limit,150,1000,7.68,38,21490,,
Buy,Limit,160,200,6.91,39,22855,,
Sell,Limit,160,3000,7.08,40,23240,,
Buy,Limit,170,300,6.68,41,26380,,
Sell,Limit,180,300,7.33,42,27177,,
Sell,Limit,180,2000,7.68,43,28531,,
Sell,Limit,190,500,7.08,44,29649,,
Sell,Limit,190,500,7.23,45,29651,,
Buy,Limit,190,12800,6.87,46,30060,,
Sell,Limit,190,3600,7.16,47,30150,,
Buy,Limit,200,300,6.81,48,31195,,
Buy,Limit,210,4800,6.9,49,32867,,
Sell,Limit,210,5500,7.18,50,32870,,
Sell,Limit,220,1500,7.1,51,34048,,
Sell,Limit,220,1500,7.25,52,34049,,
Sell,Limit,220,1400,7.4,53,34050,,
Sell,Limit,220,1400,7.55,54,34051,,
Sell,Limit,230,1000,7.2,55,34910,,
Buy,Limit,230,1500,6.28,56,35260,,
Sell,Limit,240,300,7.68,57,36927,,
Sell,Limit,240,1400,7.56,58,37018,,
Buy,Limit,260,1500,6.8,59,39825,,
Sell,Limit,270,2500,7.66,60,40470,,
Sell,Limit,270,2000,7.6,61,40472,,
Sell,Limit,270,1500,7.54,62,40476,,
Sell,Limit,270,3000,7.67,63,40493,,
Sell,Limit,270,2000,7.59,64,40496,,
Sell,Limit,270,1500,7.49,65,40498,,
Buy,Limit,270,600,6.76,66,40653,,
Buy,Limit,270,700,6.63,67,40654,,
Buy,Limit,270,700,6.5,68,40655,,
Sell,Limit,270,200,7.58,69,40856,,
Sell,Limit,270,200,7.6,70,40857,,
Sell,Limit,270,200,7.62,71,40858,,
Sell,Limit,270,200,7.64,72,40859,,
Sell,Limit,270,200,7.66,73,40860,,
Buy,Limit,300,1500,6.91,74,44354,,
Buy,Limit,300,2000,6.81,75,44355,,
Buy,Limit,330,1500,6.85,76,46472,,
Buy,Limit,340,2000,6.86,77,47865,,
Sell,Limit,350,5000,7.04,78,48575,,
Sell,Limit,370,900,7.39,79,50260,,
Buy,Limit,370,500,6.72,80,50263,,
Buy,Limit,370,1000,6.91,81,50483,,
Sell,Limit,370,2100,7.48,82,50564,,
Sell,Limit,370,2100,7.55,83,50565,,
Sell,Limit,380,1000,7.3,84,51316,,
Sell,Limit,420,5000,7.01,85,54894,,
Sell,Limit,430,2000,7.67,86,55126,,
Sell,Limit,430,2000,7.48,87,55794,,
Buy,Limit,440,300,6.5,88,56557,,
Sell,Limit,450,300,7.68,89,57010,,
Sell,Limit,450,100,7.5,90,57012,,
Buy,Limit,490,3700,6.75,91,60368,,
Buy,Limit,530,2000,6.85,92,63904,,
Sell,Limit,540,5000,7.02,93,64714,,
Buy,Limit,540,4300,6.96,94,64715,,
Buy,Limit,540,4300,6.95,95,64716,,
Buy,Limit,540,4300,6.97,96,64717,,
Sell,Limit,650,500,7.15,97,72172,,
Buy,Limit,670,1000,6.84,98,73583,,
Buy,Limit,680,5000,6.98,99,74322,,
Sell,Limit,690,10500,7.68,100,74867,,
Sell,Limit,700,1000,7.38,101,75261,,
Sell,Limit,710,5800,6.99,102,75636,,
Sell,Limit,860,500,7.46,103,85206,,
Buy,Limit,890,1000,6.9,104,87335,,
Sell,Limit,900,10000,7.66,105,87898,,
Buy,Limit,910,100,6.62,106,88720,,
Sell,Limit,930,1000,7.3,107,89709,,
Sell,Limit,930,1000,7.4,108,89712,,
Sell,Limit,940,10000,7.15,109,90204,,
Sell,Limit,940,5000,7.36,110,90357,,
Sell,Limit,960,1500,7.35,111,91316,,
Sell,Limit,960,1500,7.45,112,91317,,
Buy,Limit,960,1600,6.8,113,91318,,
Sell,Limit,960,1500,7.55,114,91327,,
Buy,Limit,990,3000,6.9,115,92999,,
Sell,Limit,1000,2000,7.29,116,93738,,
Sell,Limit,1000,2000,7.19,117,93739,,
Sell,Limit,1000,2000,7.09,118,93741,,
Sell,Limit,1000,3700,7.08,119,93771,,
Sell,Limit,1000,3000,7.08,120,93773,,
Sell,Limit,1000,4800,7.08,121,93780,,
Sell,Limit,1000,100,7.68,122,94154,,
Sell,Limit,1020,100,7.2,123,95205,,
Sell,Limit,1020,100,7.1,124,95206,,
Sell,Limit,1030,800,7.47,125,95782,,
Buy,Limit,1030,900,6.42,126,95808,,
Sell,Limit,1040,3000,7.02,127,96600,,
Buy,Limit,1040,3000,6.94,128,96601,,
