BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,timeMs
8.35,1500.0,8.33,14200.0,8.32,11500.0,8.31,44600.0,8.3,68800.0,8.36,59900.0,8.37,2000.0,8.38,43500.0,8.39,32200.0,8.4,249500.0,900000
8.34,5700.0,8.33,22100.0,8.32,24500.0,8.31,55700.0,8.3,88000.0,8.35,300.0,8.36,38200.0,8.37,5500.0,8.38,55500.0,8.39,52200.0,903000
8.33,22100.0,8.32,26600.0,8.31,58700.0,8.3,93200.0,8.29,9000.0,8.35,1600.0,8.36,29700.0,8.37,11700.0,8.38,56000.0,8.39,62700.0,906000
8.34,200.0,8.33,22100.0,8.32,26600.0,8.31,58700.0,8.3,95500.0,8.36,20500.0,8.37,11700.0,8.38,56000.0,8.39,62700.0,8.4,181200.0,909000
8.33,22200.0,8.32,26600.0,8.31,60300.0,8.3,94800.0,8.29,8900.0,8.34,3500.0,8.35,5800.0,8.36,21100.0,8.37,11700.0,8.38,56000.0,912000
8.33,16400.0,8.32,26600.0,8.31,60800.0,8.3,94800.0,8.29,8900.0,8.34,10900.0,8.35,6700.0,8.36,12700.0,8.37,11700.0,8.38,56000.0,915000
8.31,62100.0,8.3,94800.0,8.29,8900.0,8.28,38500.0,8.27,35600.0,8.32,1200.0,8.33,8600.0,8.34,16700.0,8.35,6700.0,8.36,12700.0,918000
8.31,61600.0,8.3,94800.0,8.29,8900.0,8.28,38500.0,8.27,35600.0,8.33,300.0,8.34,500.0,8.35,6700.0,8.36,12700.0,8.37,12800.0,921000
8.31,14600.0,8.3,94800.0,8.29,8900.0,8.28,38500.0,8.27,35600.0,8.35,6700.0,8.36,12700.0,8.37,12800.0,8.38,56000.0,8.39,63700.0,924000
8.31,12000.0,8.3,94800.0,8.29,8900.0,8.28,38500.0,8.27,35600.0,8.34,100.0,8.35,6700.0,8.36,12700.0,8.37,84000.0,8.38,56000.0,927000
8.33,300.0,8.32,9300.0,8.31,11500.0,8.3,94600.0,8.29,9400.0,8.35,6600.0,8.36,13100.0,8.37,84000.0,8.38,56000.0,8.39,63600.0,930000
8.32,9300.0,8.31,16500.0,8.3,95600.0,8.29,8500.0,8.28,38500.0,8.34,8100.0,8.35,6600.0,8.36,14100.0,8.37,84000.0,8.38,56000.0,933000
8.32,9300.0,8.31,17500.0,8.3,95900.0,8.29,8500.0,8.28,38500.0,8.34,8100.0,8.35,6600.0,8.36,14100.0,8.37,84000.0,8.38,56000.0,936000
8.33,4000.0,8.32,9300.0,8.31,20000.0,8.3,95900.0,8.29,8500.0,8.34,6200.0,8.35,6600.0,8.36,14100.0,8.37,84000.0,8.38,56000.0,939000
8.32,8000.0,8.31,20000.0,8.3,95900.0,8.29,8500.0,8.28,39100.0,8.34,6200.0,8.35,6600.0,8.36,14100.0,8.37,84000.0,8.38,26000.0,942000
8.33,3800.0,8.32,8000.0,8.31,21500.0,8.3,95500.0,8.29,8500.0,8.34,7900.0,8.35,15500.0,8.36,26100.0,8.37,84000.0,8.38,26300.0,945000
8.33,6200.0,8.32,8000.0,8.31,21500.0,8.3,95500.0,8.29,8500.0,8.34,6900.0,8.35,15500.0,8.36,26100.0,8.37,84000.0,8.38,16300.0,948000
8.33,6100.0,8.32,12600.0,8.31,21500.0,8.3,95500.0,8.29,8500.0,8.34,4900.0,8.35,17500.0,8.36,26100.0,8.37,84000.0,8.38,16300.0,951000
8.32,13100.0,8.31,21500.0,8.3,95600.0,8.29,8500.0,8.28,39100.0,8.33,300.0,8.34,4900.0,8.35,20800.0,8.36,26100.0,8.37,84000.0,954000
8.32,14100.0,8.31,21600.0,8.3,95600.0,8.29,8500.0,8.28,39100.0,8.34,4200.0,8.35,20900.0,8.36,26100.0,8.37,84000.0,8.38,16300.0,957000
8.32,14000.0,8.31,21600.0,8.3,95600.0,8.29,8500.0,8.28,34700.0,8.34,4400.0,8.35,20900.0,8.36,29100.0,8.37,84000.0,8.38,16300.0,960000
8.33,2500.0,8.32,14000.0,8.31,21600.0,8.3,95600.0,8.29,8500.0,8.34,6400.0,8.35,20900.0,8.36,29100.0,8.37,84000.0,8.38,16300.0,963000
8.33,5100.0,8.32,18100.0,8.31,21600.0,8.3,100000.0,8.29,8500.0,8.34,6400.0,8.35,20900.0,8.36,29100.0,8.37,84000.0,8.38,16300.0,966000
8.33,5400.0,8.32,18100.0,8.31,21600.0,8.3,95600.0,8.29,8500.0,8.34,6400.0,8.35,14500.0,8.36,30200.0,8.37,84000.0,8.38,16300.0,969000
8.33,5300.0,8.32,25100.0,8.31,21600.0,8.3,95800.0,8.29,8500.0,8.34,5900.0,8.35,14500.0,8.36,30200.0,8.37,84000.0,8.38,16300.0,972000
8.33,5300.0,8.32,25100.0,8.31,21600.0,8.3,95800.0,8.29,11400.0,8.34,1500.0,8.35,14500.0,8.36,30200.0,8.37,84000.0,8.38,16600.0,975000
8.33,2300.0,8.32,26100.0,8.31,21700.0,8.3,95800.0,8.29,6500.0,8.34,2200.0,8.35,14500.0,8.36,30200.0,8.37,84000.0,8.38,16600.0,978000
8.32,26100.0,8.31,20400.0,8.3,95800.0,8.29,6500.0,8.28,35500.0,8.33,5100.0,8.34,1800.0,8.35,14500.0,8.36,30200.0,8.37,84000.0,981000
8.33,5900.0,8.32,32000.0,8.31,20900.0,8.3,95800.0,8.29,6500.0,8.34,1800.0,8.35,14500.0,8.36,35200.0,8.37,84000.0,8.38,16600.0,984000
8.33,10800.0,8.32,33000.0,8.31,25900.0,8.3,94800.0,8.29,6500.0,8.34,3700.0,8.35,14500.0,8.36,35200.0,8.37,84000.0,8.38,16600.0,987000
8.33,13400.0,8.32,33000.0,8.31,25800.0,8.3,96700.0,8.29,6500.0,8.34,2700.0,8.35,14500.0,8.36,35200.0,8.37,84000.0,8.38,16600.0,990000
8.33,13400.0,8.32,33000.0,8.31,25800.0,8.3,96700.0,8.29,6500.0,8.34,2700.0,8.35,14500.0,8.36,35200.0,8.37,84000.0,8.38,20200.0,993000
8.33,20200.0,8.32,33000.0,8.31,28100.0,8.3,96700.0,8.29,6500.0,8.34,2100.0,8.35,17300.0,8.36,35200.0,8.37,84000.0,8.38,20200.0,996000
8.33,20200.0,8.32,33500.0,8.31,29400.0,8.3,99200.0,8.29,6500.0,8.35,18200.0,8.36,35200.0,8.37,84000.0,8.38,20200.0,8.39,60500.0,999000
8.33,20200.0,8.32,34800.0,8.31,29400.0,8.3,99200.0,8.29,6500.0,8.34,1400.0,8.35,17500.0,8.36,35200.0,8.37,84000.0,8.38,20200.0,1002000
8.33,21600.0,8.32,34800.0,8.31,29900.0,8.3,99200.0,8.29,6500.0,8.35,27500.0,8.36,35700.0,8.37,84000.0,8.38,20200.0,8.39,60500.0,1005000
8.34,1000.0,8.33,21600.0,8.32,36000.0,8.31,29900.0,8.3,99200.0,8.35,40000.0,8.36,35700.0,8.37,84000.0,8.38,19800.0,8.39,60500.0,1008000
8.33,21600.0,8.32,45800.0,8.31,29900.0,8.3,99400.0,8.29,6700.0,8.34,1200.0,8.35,39500.0,8.36,35700.0,8.37,12800.0,8.38,19800.0,1011000
8.33,21800.0,8.32,45800.0,8.31,29900.0,8.3,99400.0,8.29,6700.0,8.35,39700.0,8.36,35700.0,8.37,12800.0,8.38,19800.0,8.39,60500.0,1014000
8.34,500.0,8.33,21800.0,8.32,45800.0,8.31,29900.0,8.3,99400.0,8.35,39700.0,8.36,35700.0,8.37,12800.0,8.38,19800.0,8.39,60500.0,1017000
8.34,27100.0,8.32,45900.0,8.31,24900.0,8.3,99000.0,8.29,6700.0,8.35,30100.0,8.36,25700.0,8.37,12800.0,8.38,19800.0,8.39,60500.0,1020000
8.34,400.0,8.33,1400.0,8.32,45400.0,8.31,24900.0,8.3,99000.0,8.35,30100.0,8.36,24500.0,8.37,12800.0,8.38,19800.0,8.39,60500.0,1023000
8.33,3800.0,8.32,44900.0,8.31,24900.0,8.3,99000.0,8.29,6700.0,8.35,29300.0,8.36,24500.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1026000
8.34,2900.0,8.33,5700.0,8.32,45900.0,8.31,24900.0,8.3,99000.0,8.35,29000.0,8.36,24500.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1029000
8.34,5000.0,8.33,5700.0,8.32,41500.0,8.31,24900.0,8.3,99000.0,8.35,28700.0,8.36,24700.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1032000
8.34,14400.0,8.33,5700.0,8.32,43500.0,8.31,24900.0,8.3,99000.0,8.35,29800.0,8.36,24700.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1035000
8.34,36900.0,8.33,6200.0,8.32,43500.0,8.31,23900.0,8.3,99000.0,8.35,29800.0,8.36,24700.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1038000
8.34,36400.0,8.33,14600.0,8.32,43500.0,8.31,23900.0,8.3,100000.0,8.35,34200.0,8.36,24500.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1041000
8.34,38000.0,8.33,14600.0,8.32,43500.0,8.31,23900.0,8.3,100000.0,8.35,3100.0,8.36,24500.0,8.37,12800.0,8.38,19800.0,8.39,59500.0,1044000
8.34,43700.0,8.33,14600.0,8.32,43500.0,8.31,23900.0,8.3,100000.0,8.35,3100.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,59500.0,1047000
8.34,44200.0,8.33,14600.0,8.32,38900.0,8.31,23900.0,8.3,100800.0,8.35,3100.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,59500.0,1050000
8.34,43800.0,8.33,45600.0,8.32,38900.0,8.31,23900.0,8.3,100800.0,8.35,1300.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,59500.0,1053000
8.34,53900.0,8.33,46100.0,8.32,38900.0,8.31,23900.0,8.3,100800.0,8.35,1100.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,59500.0,1056000
8.34,50900.0,8.33,46100.0,8.32,38900.0,8.31,23900.0,8.3,100800.0,8.35,1100.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,56500.0,1059000
8.34,50900.0,8.33,46400.0,8.32,36600.0,8.31,23900.0,8.3,100800.0,8.35,800.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,56500.0,1062000
8.34,43100.0,8.33,46400.0,8.32,36100.0,8.31,20900.0,8.3,100800.0,8.35,700.0,8.36,24500.0,8.37,12800.0,8.38,20800.0,8.39,56500.0,1065000
8.33,46400.0,8.32,36100.0,8.31,20900.0,8.3,88800.0,8.29,6800.0,8.35,1800.0,8.36,27200.0,8.37,12800.0,8.38,20800.0,8.39,56500.0,1068000
8.33,43400.0,8.32,34100.0,8.31,20900.0,8.3,88800.0,8.29,6800.0,8.34,600.0,8.35,7300.0,8.36,27200.0,8.37,12800.0,8.38,20800.0,1071000
8.33,43400.0,8.32,34100.0,8.31,20900.0,8.3,88800.0,8.29,6800.0,8.34,800.0,8.35,8300.0,8.36,27200.0,8.37,12800.0,8.38,20800.0,1074000
8.33,44000.0,8.32,34100.0,8.31,21000.0,8.3,87900.0,8.29,6800.0,8.34,5500.0,8.35,8300.0,8.36,27200.0,8.37,12800.0,8.38,20800.0,1077000
8.33,55800.0,8.32,34100.0,8.31,21000.0,8.3,87900.0,8.29,6800.0,8.34,6200.0,8.35,8300.0,8.36,27200.0,8.37,12800.0,8.38,20800.0,1080000
8.32,32400.0,8.31,20500.0,8.3,87900.0,8.29,6800.0,8.28,39100.0,8.33,6600.0,8.34,10800.0,8.35,8300.0,8.36,27200.0,8.37,12800.0,1083000
8.32,32400.0,8.31,20500.0,8.3,87900.0,8.29,6800.0,8.28,39100.0,8.33,6000.0,8.34,10800.0,8.35,9000.0,8.36,27200.0,8.37,12800.0,1086000
8.32,37400.0,8.31,20500.0,8.3,87900.0,8.29,6800.0,8.28,39100.0,8.33,5400.0,8.34,10800.0,8.35,15700.0,8.36,25500.0,8.37,12800.0,1089000
8.32,39400.0,8.31,20500.0,8.3,88900.0,8.29,6800.0,8.28,39100.0,8.33,5400.0,8.34,10800.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1092000
8.32,30400.0,8.31,20500.0,8.3,89500.0,8.29,6800.0,8.28,39100.0,8.33,5300.0,8.34,14100.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1095000
8.32,28900.0,8.31,20500.0,8.3,89500.0,8.29,6800.0,8.28,39100.0,8.33,5900.0,8.34,14100.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1098000
8.32,28600.0,8.31,21000.0,8.3,90400.0,8.29,6800.0,8.28,39300.0,8.33,9000.0,8.34,14100.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1101000
8.32,35600.0,8.31,20500.0,8.3,90400.0,8.29,9800.0,8.28,39300.0,8.33,9200.0,8.34,14100.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1104000
8.32,46400.0,8.31,20500.0,8.3,90400.0,8.29,9800.0,8.28,39300.0,8.33,8300.0,8.34,14100.0,8.35,15200.0,8.36,25500.0,8.37,12800.0,1107000
8.32,46400.0,8.31,20500.0,8.3,90400.0,8.29,9800.0,8.28,41500.0,8.33,7800.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1110000
8.32,46200.0,8.31,20500.0,8.3,90400.0,8.29,9800.0,8.28,41500.0,8.33,8700.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1113000
8.32,34100.0,8.31,30500.0,8.3,90400.0,8.29,9800.0,8.28,41500.0,8.33,15500.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1116000
8.32,34100.0,8.31,30500.0,8.3,90400.0,8.29,9800.0,8.28,41800.0,8.33,27200.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1119000
8.32,34100.0,8.31,30500.0,8.3,90400.0,8.29,9800.0,8.28,41800.0,8.33,24500.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1122000
8.32,22800.0,8.31,30500.0,8.3,90400.0,8.29,9800.0,8.28,41800.0,8.33,24500.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1125000
8.32,22500.0,8.31,30500.0,8.3,90400.0,8.29,9800.0,8.28,41800.0,8.33,24500.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,12800.0,1128000
8.32,22300.0,8.31,30500.0,8.3,89900.0,8.29,9800.0,8.28,41800.0,8.33,24500.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,14900.0,1131000
8.32,20900.0,8.31,30500.0,8.3,90100.0,8.29,9800.0,8.28,41800.0,8.33,16800.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,14900.0,1134000
8.32,18300.0,8.31,30500.0,8.3,90300.0,8.29,9800.0,8.28,41700.0,8.33,16800.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,14900.0,1137000
8.32,18600.0,8.31,31000.0,8.3,90300.0,8.29,9800.0,8.28,41700.0,8.33,16800.0,8.34,13200.0,8.35,15500.0,8.36,25500.0,8.37,14900.0,1140000
8.32,13700.0,8.31,34000.0,8.3,90300.0,8.29,9800.0,8.28,41700.0,8.33,6900.0,8.34,13200.0,8.35,15600.0,8.36,25500.0,8.37,14900.0,1143000
8.32,13700.0,8.31,34000.0,8.3,90300.0,8.29,9800.0,8.28,41900.0,8.33,6900.0,8.34,13200.0,8.35,15600.0,8.36,25500.0,8.37,14900.0,1146000
8.32,12300.0,8.31,34000.0,8.3,90300.0,8.29,9800.0,8.28,41900.0,8.33,6900.0,8.34,13200.0,8.35,15600.0,8.36,25500.0,8.37,14900.0,1149000
8.32,13400.0,8.31,34000.0,8.3,90300.0,8.29,9800.0,8.28,41900.0,8.33,7700.0,8.34,13200.0,8.35,15600.0,8.36,25500.0,8.37,14900.0,1152000
8.32,11400.0,8.31,34000.0,8.3,90300.0,8.29,9800.0,8.28,41900.0,8.33,7700.0,8.34,13200.0,8.35,15600.0,8.36,25500.0,8.37,14900.0,1155000
8.32,9000.0,8.31,34100.0,8.3,90300.0,8.29,9800.0,8.28,41900.0,8.33,6600.0,8.34,13200.0,8.35,15600.0,8.36,30300.0,8.37,14900.0,1158000
8.33,100.0,8.32,7000.0,8.31,34100.0,8.3,90100.0,8.29,9800.0,8.34,13200.0,8.35,15600.0,8.36,30100.0,8.37,14900.0,8.38,20500.0,1161000
8.32,4000.0,8.31,34100.0,8.3,89900.0,8.29,9800.0,8.28,43900.0,8.33,23500.0,8.34,13200.0,8.35,15600.0,8.36,30100.0,8.37,14900.0,1164000
8.32,3500.0,8.31,34100.0,8.3,89900.0,8.29,9800.0,8.28,43900.0,8.33,23500.0,8.34,13200.0,8.35,15600.0,8.36,30100.0,8.37,14900.0,1167000
